sha,date,kind,message,files,n_lines,reverts_cleanly,development_set
de6bbb1f,2019-08-03,cpp,Fixed the bug reported in issue #200.,src/models/flight_control/FGFCSComponent.cpp,4,False,False
94d5877c,2019-04-22,cpp,Fixed the bug reported in issue #123 (wrong HR errors at high alt).,src/models/atmosphere/FGStandardAtmosphere.cpp;src/models/atmosphere/FGStandardAtmosphere.h,237,False,False
4cdc72c6,2019-02-09,cpp,Fixed the bug reported in issue #163,src/math/FGMatrix33.cpp,41,False,False
8a9fba1c,2018-12-27,cpp,Fixed a regression for the wheel rotation speed (issue #120),src/models/FGLGear.cpp,33,True,False
00bf7b0d,2018-12-16,cpp,Small fixes to FGPropertyValue and code clean up.,src/math/FGPropertyValue.cpp;src/math/FGPropertyValue.h,48,False,False
ac30e704,2018-11-25,cpp,Fixed FGSwitch: properties sign is managed by FGPropertyValue.,src/models/flight_control/FGSwitch.cpp;src/models/flight_control/FGSwitch.h,131,False,False
7ad54315,2018-11-24,cpp,Fixed a number of bugs.,src/math/FGFunction.cpp,35,False,False
50d810fd,2018-11-04,cpp,Fixed the bug occurring for the fail_hardover feature.,src/models/flight_control/FGActuator.cpp,4,False,False
c21af41a,2018-11-02,cpp,Fixed the bug reported by @mike402 in issue #127,src/models/FGLGear.cpp;src/models/FGLGear.h,11,False,False
f543d634,2018-10-28,cpp,Fixed the fail_stuck behavior (bug reported in issue #119),src/models/flight_control/FGSensor.cpp,10,True,False
6adf2689,2018-10-27,cpp,Fixed the bug triggered by TestIntegrators.,src/models/flight_control/FGPID.cpp,4,False,False
61f1e8c3,2018-10-17,cpp,Fixed the bug reported from FlightGear.,src/models/atmosphere/FGStandardAtmosphere.cpp,36,True,False
c3fa7d22,2018-08-04,cpp,Correct sign for load factor - GetNlf() (#106),src/models/FGAuxiliary.cpp,4,True,False
fc3b870f,2018-07-20,cpp,Channels: fixed for incorrect time steps caused by execrate (#92),src/models/FGFCS.cpp;src/models/FGFCSChannel.h;src/models/flight_control/FGFCSComponent.cpp;src/models/flight_control/FGFCSComponent.h,30,False,False
cab90efc,2018-07-15,cpp,Improved configuration error detection in FGSwitch w.r.t. late bound properties.,src/models/flight_control/FGSwitch.cpp;src/models/flight_control/FGSwitch.h,25,False,False
fd1ed150,2018-07-07,cpp,Fixed the P factors moments reported in text files.,src/models/propulsion/FGPropeller.cpp,13,True,False
82cc3893,2018-07-05,cpp,Partial fix for issue #78 (reported by @dany93),src/models/propulsion/FGPropeller.cpp,7,True,False
