aircraft,manoeuvre,method,fault,n_outputs,n_oracle,recall_at3,recall_at5,ap,inspect_before_first,top_is_affected,n_flagged,any_correct_flag,reduction
B747,engine_cut,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
B747,engine_cut,ks,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8878984263599649,1,True,13,True,0.40909090909090906
B747,engine_cut,ks,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.9045329670329672,1,True,6,True,0.7272727272727273
B747,engine_cut,ks,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.911525974025974,1,True,6,True,0.7272727272727273
B747,engine_cut,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,3,True,0.8636363636363636
B747,engine_cut,regression,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.7727916258280632,1,True,19,True,0.13636363636363635
B747,engine_cut,regression,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.9355644355644356,1,True,11,True,0.5
B747,engine_cut,regression,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8862637362637363,1,True,9,True,0.5909090909090908
B747,engine_cut,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,9,True,0.5909090909090908
B747,engine_cut,sig_dynamic,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8617701742701744,1,True,12,True,0.4545454545454546
B747,engine_cut,sig_dynamic,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.8155801800538645,1,True,7,True,0.6818181818181819
B747,engine_cut,sig_dynamic,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.870197776080129,1,True,5,True,0.7727272727272727
B747,engine_cut,sig_dynamic,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,3,True,0.8636363636363636
B747,engine_cut,sig_static,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8527453880960667,1,True,9,True,0.5909090909090908
B747,engine_cut,sig_static,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.8289846849057376,1,True,6,True,0.7272727272727273
B747,engine_cut,sig_static,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.7964198132184558,1,True,5,True,0.7727272727272727
B747,engine_cut,sig_static,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,1,True,0.9545454545454546
B747,engine_restart,envelope,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.6918824725326274,1,True,12,True,0.4545454545454546
B747,engine_restart,envelope,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.9122629004981946,1,True,6,True,0.7272727272727273
B747,engine_restart,envelope,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8365493282616406,1,True,12,True,0.4545454545454546
B747,engine_restart,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,4,True,0.8181818181818181
B747,engine_restart,iforest,clo_+0.1,22,13,0.15384615384615385,0.23076923076923078,0.6709161502147928,1,True,22,True,0.0
B747,engine_restart,iforest,cmalpha_x0.7,22,13,0.07692307692307693,0.15384615384615385,0.5026017352761815,3,False,22,True,0.0
B747,engine_restart,iforest,cmq_x0.5,22,13,0.15384615384615385,0.3076923076923077,0.6044586390561622,2,False,22,True,0.0
B747,engine_restart,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,22,True,0.0
B747,engine_restart,ks,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.9350521273598196,1,True,9,True,0.5909090909090908
B747,engine_restart,ks,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,1.0,1,True,4,True,0.8181818181818181
B747,engine_restart,ks,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.9355644355644356,1,True,6,True,0.7272727272727273
B747,engine_restart,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,1,True,0.9545454545454546
B747,engine_restart,regression,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8329677288655617,1,True,18,True,0.18181818181818177
B747,engine_restart,regression,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.972715318869165,1,True,10,True,0.5454545454545454
B747,engine_restart,regression,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.9751850713389175,1,True,11,True,0.5
B747,engine_restart,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,6,True,0.7272727272727273
B747,engine_restart,sig_dynamic,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.941518737672584,1,True,10,True,0.5454545454545454
B747,engine_restart,sig_dynamic,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,1.0,1,True,8,True,0.6363636363636364
B747,engine_restart,sig_dynamic,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.9355644355644356,1,True,10,True,0.5454545454545454
B747,engine_restart,sig_dynamic,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,3,True,0.8636363636363636
B747,engine_restart,sig_static,clo_+0.1,22,13,0.23076923076923078,0.23076923076923078,0.6605335470541471,1,True,9,True,0.5909090909090908
B747,engine_restart,sig_static,cmalpha_x0.7,22,13,0.15384615384615385,0.23076923076923078,0.6008095183375011,1,True,3,True,0.8636363636363636
B747,engine_restart,sig_static,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.790152829626514,1,True,6,True,0.7272727272727273
B747,engine_restart,sig_static,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,2,True,0.9090909090909091
B747,flap_extend,envelope,clo_+0.1,22,13,0.23076923076923078,0.23076923076923078,0.6763345965775116,1,True,11,True,0.5
B747,flap_extend,envelope,cmalpha_x0.7,22,13,0.07692307692307693,0.15384615384615385,0.478648346176329,3,False,22,True,0.0
B747,flap_extend,envelope,cmq_x0.5,22,13,0.23076923076923078,0.23076923076923078,0.6084993689066086,1,True,20,True,0.09090909090909094
B747,flap_extend,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,12,True,0.4545454545454546
B747,flap_extend,iforest,clo_+0.1,22,13,0.15384615384615385,0.23076923076923078,0.6893838617522827,1,True,22,True,0.0
B747,flap_extend,iforest,cmalpha_x0.7,22,13,0.15384615384615385,0.23076923076923078,0.710426707795129,1,True,22,True,0.0
B747,flap_extend,iforest,cmq_x0.5,22,13,0.07692307692307693,0.23076923076923078,0.5931383433586339,1,True,5,True,0.7727272727272727
B747,flap_extend,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,2,True,0.9090909090909091
B747,flap_extend,ks,clo_+0.1,22,13,0.23076923076923078,0.23076923076923078,0.7600514592179273,1,True,6,True,0.7272727272727273
B747,flap_extend,ks,cmalpha_x0.7,22,13,0.0,0.07692307692307693,0.44681895761617124,4,False,22,True,0.0
B747,flap_extend,ks,cmq_x0.5,22,13,0.15384615384615385,0.15384615384615385,0.595628481425695,1,True,12,True,0.4545454545454546
B747,flap_extend,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,1,True,0.9545454545454546
B747,flap_extend,regression,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.7514288006190841,1,True,21,True,0.045454545454545414
B747,flap_extend,regression,cmalpha_x0.7,22,13,0.07692307692307693,0.07692307692307693,0.48624259727200897,3,False,18,True,0.18181818181818177
B747,flap_extend,regression,cmq_x0.5,22,13,0.0,0.0,0.41640087142885424,8,False,19,True,0.13636363636363635
B747,flap_extend,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,19,True,0.13636363636363635
B747,flap_extend,sig_dynamic,clo_+0.1,22,13,0.15384615384615385,0.23076923076923078,0.6696090115594759,1,True,18,True,0.18181818181818177
B747,flap_extend,sig_dynamic,cmalpha_x0.7,22,13,0.0,0.07692307692307693,0.5162801429472065,4,False,21,True,0.045454545454545414
B747,flap_extend,sig_dynamic,cmq_x0.5,22,13,0.07692307692307693,0.23076923076923078,0.6102089093991928,1,True,14,True,0.36363636363636365
B747,flap_extend,sig_dynamic,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,8,True,0.6363636363636364
B747,flap_extend,sig_static,clo_+0.1,22,13,0.15384615384615385,0.23076923076923078,0.5599400599400599,2,False,16,True,0.2727272727272727
B747,flap_extend,sig_static,cmalpha_x0.7,22,13,0.0,0.15384615384615385,0.5402928519444357,4,False,21,True,0.045454545454545414
B747,flap_extend,sig_static,cmq_x0.5,22,13,0.07692307692307693,0.15384615384615385,0.5746251948681098,1,True,15,True,0.31818181818181823
B747,flap_extend,sig_static,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,8,True,0.6363636363636364
B747,rudder_doublet,envelope,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.7333271905253329,1,True,10,True,0.5454545454545454
B747,rudder_doublet,envelope,cmalpha_x0.7,22,13,0.07692307692307693,0.15384615384615385,0.70060100156254,1,True,5,True,0.7727272727272727
B747,rudder_doublet,envelope,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.9819004524886878,1,True,4,True,0.8181818181818181
B747,rudder_doublet,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,6,True,0.7272727272727273
B747,rudder_doublet,iforest,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.722296601747066,1,True,22,True,0.0
B747,rudder_doublet,iforest,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.7148399244374477,1,True,11,True,0.5
B747,rudder_doublet,iforest,cmq_x0.5,22,13,0.07692307692307693,0.15384615384615385,0.566334980808665,3,False,0,False,1.0
B747,rudder_doublet,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
B747,rudder_doublet,ks,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8419787814524659,1,True,4,True,0.8181818181818181
B747,rudder_doublet,ks,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.6959032067004204,1,True,0,False,1.0
B747,rudder_doublet,ks,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.7875887270624115,1,True,1,True,0.9545454545454546
B747,rudder_doublet,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
B747,rudder_doublet,regression,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.895591542959964,1,True,6,True,0.7272727272727273
B747,rudder_doublet,regression,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.8443540377750905,1,True,4,True,0.8181818181818181
B747,rudder_doublet,regression,cmq_x0.5,22,13,0.23076923076923078,0.3076923076923077,0.7618561263298106,1,True,5,True,0.7727272727272727
B747,rudder_doublet,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,2,True,0.9090909090909091
B747,rudder_doublet,sig_dynamic,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8615825351119469,1,True,5,True,0.7727272727272727
