aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,gated_cat,gated_auc,false_alarm
c172p,cruise,clo_+0.1,10,0.594,7.74,8.0,0.46/0.60,0.40/1.00,0.68,0.38/0.30,0.50/1.00,0.32,
c172p,cruise,noop,0,0.594,,,,,,,,,0.0
c172p,throttle_step,inertia_x1.6,1,0.568,2.85,2.0,0.05/1.00,0.20/1.00,,0.00/0.00,0.00/0.00,0.45,
c172p,throttle_step,cmq_x0.5,5,0.568,1.42,2.0,0.38/1.00,0.40/1.00,0.79,1.00/0.40,1.00/1.00,0.78,
c172p,throttle_step,cmalpha_x0.7,5,0.568,1.06,3.0,0.23/0.60,0.40/1.00,0.53,0.33/0.20,1.00/1.00,0.09,
c172p,throttle_step,clo_+0.1,20,0.568,8.18,8.0,0.85/0.55,1.00/1.00,0.68,0.75/0.30,1.00/0.80,0.42,
c172p,throttle_step,noop,1,0.568,,,,,,,,,0.05
c172p,elev_doublet,inertia_x1.6,0,0.665,1.46,5.0,0.00/0.00,0.00/0.00,,0.00/0.00,0.00/0.00,0.49,
c172p,elev_doublet,cmq_x0.5,1,0.665,0.32,0.0,0.08/1.00,0.20/1.00,0.37,-,,,
c172p,elev_doublet,cmalpha_x0.7,2,0.665,0.6,0.0,0.15/1.00,0.40/1.00,0.36,-,,,
c172p,elev_doublet,clo_+0.1,7,0.665,4.29,3.0,0.31/0.57,0.60/1.00,0.45,0.33/0.14,0.67/0.67,0.26,
c172p,elev_doublet,noop,0,0.665,,,,,,,,,0.0
c172p,elev_step,inertia_x1.6,2,0.686,1.04,1.0,0.09/1.00,0.40/1.00,,0.00/0.00,1.00/0.50,0.38,
c172p,elev_step,cmq_x0.5,3,0.686,1.17,3.0,0.15/0.67,0.20/1.00,0.5,0.00/0.00,0.33/1.00,0.54,
c172p,elev_step,cmalpha_x0.7,6,0.686,1.65,3.0,0.38/0.83,0.60/1.00,0.79,0.00/0.00,0.67/0.67,0.49,
c172p,elev_step,clo_+0.1,3,0.686,4.2,3.0,0.08/0.33,0.40/1.00,0.15,0.00/0.00,0.67/1.00,0.05,
c172p,elev_step,noop,1,0.686,,,,,,,,,0.05
c172p,aileron_step,inertia_x1.6,0,0.675,4.46,7.0,0.00/0.00,0.00/0.00,,0.00/0.00,0.00/0.00,0.46,
c172p,aileron_step,cmq_x0.5,3,0.675,0.79,0.0,0.23/1.00,0.60/1.00,0.82,-,,,
c172p,aileron_step,cmalpha_x0.7,0,0.675,0.28,0.0,0.00/0.00,0.00/0.00,0.7,-,,,
c172p,aileron_step,clo_+0.1,0,0.675,5.39,3.0,0.00/0.00,0.00/0.00,0.56,0.00/0.00,0.00/0.00,0.11,
c172p,aileron_step,noop,0,0.675,,,,,,,,,0.0
c172p,rudder_doublet,inertia_x1.6,5,0.681,3.66,2.0,0.23/1.00,0.40/1.00,,0.50/0.20,0.50/0.50,0.6,
c172p,rudder_doublet,cmq_x0.5,1,0.681,1.46,1.0,0.08/1.00,0.20/1.00,0.32,0.00/0.00,0.00/0.00,0.29,
c172p,rudder_doublet,cmalpha_x0.7,3,0.681,1.62,1.0,0.23/1.00,0.40/1.00,0.66,0.00/0.00,1.00/0.50,0.38,
c172p,rudder_doublet,clo_+0.1,6,0.681,3.92,3.0,0.38/0.83,0.40/1.00,0.54,0.67/0.33,0.67/1.00,0.67,
c172p,rudder_doublet,noop,0,0.681,,,,,,,,,0.0
c172p,bank_hold,inertia_x1.6,0,0.699,5.73,7.0,0.00/0.00,0.00/0.00,,0.00/0.00,0.00/0.00,0.4,
c172p,bank_hold,cmq_x0.5,0,0.699,0.91,0.0,0.00/0.00,0.00/0.00,0.53,-,,,
c172p,bank_hold,cmalpha_x0.7,1,0.699,0.35,0.0,0.08/1.00,0.20/1.00,0.47,-,,,
c172p,bank_hold,clo_+0.1,7,0.699,4.21,3.0,0.31/0.57,0.60/1.00,0.48,0.67/0.29,0.67/0.67,0.75,
c172p,bank_hold,noop,0,0.699,,,,,,,,,0.0
c172p,flap_extend,inertia_x1.6,0,0.679,0.99,0.0,0.00/0.00,0.00/0.00,,-,,,
c172p,flap_extend,cmq_x0.5,1,0.679,1.38,3.0,0.08/1.00,0.20/1.00,0.5,0.00/0.00,0.50/1.00,0.47,
c172p,flap_extend,cmalpha_x0.7,12,0.679,133.33,13.0,0.23/0.25,0.80/1.00,0.19,0.23/0.25,0.80/1.00,0.19,
c172p,flap_extend,clo_+0.1,5,0.679,4.91,5.0,0.08/0.20,0.60/1.00,0.39,0.00/0.00,0.75/1.00,0.25,
c172p,flap_extend,noop,0,0.679,,,,,,,,,0.0
c172p,climbing_turn,inertia_x1.6,2,0.573,4.61,5.0,0.09/1.00,0.40/1.00,,0.00/0.00,0.67/1.00,0.6,
c172p,climbing_turn,cmq_x0.5,2,0.573,0.61,0.0,0.15/1.00,0.40/1.00,0.68,-,,,
c172p,climbing_turn,cmalpha_x0.7,3,0.573,1.21,1.0,0.00/0.00,0.40/1.00,0.46,0.00/0.00,1.00/0.50,0.1,
c172p,climbing_turn,clo_+0.1,13,0.573,3.39,2.0,0.54/0.54,0.80/1.00,0.39,0.50/0.08,1.00/0.50,0.5,
