aircraft,manoeuvre,config,base_vsd,thr,inertia_x1.6,cmq_x0.5,cmalpha_x0.7,clo_+0.1,noop_fa,noop
A320,throttle_step,since,0.228,0.043,0.05/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.31,0.46/1.00 cat 0.60 auc 0.49,0.31/0.57 cat 0.60 auc 0.57,0.05,
A320,elev_doublet,static,0.608,0.167,0.14/1.00 cat 0.60 auc nan,0.00/0.00 cat 0.60 auc 0.59,0.15/1.00 cat 0.40 auc 0.81,0.15/0.50 cat 0.60 auc 0.54,0.14,
A320,elev_doublet,lags,0.593,0.157,0.14/1.00 cat 0.60 auc nan,0.00/0.00 cat 0.40 auc 0.59,0.23/1.00 cat 0.60 auc 0.74,0.23/0.50 cat 0.60 auc 0.48,0.09,
A320,elev_doublet,lags+since,0.504,0.15,0.14/1.00 cat 0.40 auc nan,0.00/0.00 cat 0.20 auc 0.45,0.23/0.75 cat 0.80 auc 0.65,0.15/0.50 cat 0.40 auc 0.60,0.05,
A320,elev_doublet,since,0.534,0.146,0.09/1.00 cat 0.40 auc nan,0.00/0.00 cat 0.20 auc 0.55,0.15/0.67 cat 0.60 auc 0.56,0.08/0.33 cat 0.60 auc 0.48,0.05,
A320,elev_step,static,0.504,0.081,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.60,0.23/0.75 cat 0.60 auc 0.70,0.69/0.75 cat 0.80 auc 0.69,0.0,
A320,elev_step,lags,0.448,0.1,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.77,0.31/1.00 cat 0.60 auc 0.67,0.69/0.75 cat 0.80 auc 0.69,0.0,
A320,elev_step,lags+since,0.32,0.076,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.00 auc 0.57,0.54/0.88 cat 0.80 auc 0.74,0.31/1.00 cat 0.60 auc 0.79,0.0,
A320,elev_step,since,0.33,0.066,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.44,0.46/0.75 cat 0.80 auc 0.82,0.46/0.67 cat 0.60 auc 0.63,0.0,
A320,aileron_step,static,0.408,0.128,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.53,0.23/0.75 cat 0.80 auc 0.65,0.23/0.50 cat 0.60 auc 0.56,0.0,
A320,aileron_step,lags,0.305,0.121,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.20 auc 0.74,0.31/0.80 cat 0.60 auc 0.63,0.31/0.44 cat 0.60 auc 0.48,0.09,
A320,aileron_step,lags+since,0.279,0.103,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.20 auc 0.77,0.23/0.50 cat 0.60 auc 0.73,0.38/0.42 cat 0.80 auc 0.36,0.05,
A320,aileron_step,since,0.318,0.106,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.72,0.38/1.00 cat 0.60 auc 0.67,0.38/0.45 cat 1.00 auc 0.48,0.0,
A320,rudder_doublet,static,0.476,0.177,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.20 auc 0.57,0.23/0.75 cat 0.60 auc 0.94,0.08/1.00 cat 0.20 auc 0.75,0.05,
A320,rudder_doublet,lags,0.405,0.129,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.56,0.38/1.00 cat 0.60 auc 0.91,0.15/0.67 cat 0.40 auc 0.74,0.0,
