aircraft,manoeuvre,fault,explainer,n_flagged,agreement,agreement_null_median,n_explained,correctness,correctness_largest_movement,correctness_only_changing,correctness_residual_importance,stability,n_with_trim_shift
A320,elev_step,inertia_x1.6,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
A320,elev_step,cmq_x0.5,dynamic,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0.5,0
A320,elev_step,cmq_x0.5,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
A320,elev_step,cmalpha_x0.7,dynamic,7,0.0,0.7142857142857143,7,1.0,1.0,1.0,1.0,0.4714285714285714,0
A320,elev_step,cmalpha_x0.7,static,7,0.0,0.14285714285714285,7,1.0,1.0,1.0,,,0
A320,elev_step,clo_+0.1,dynamic,8,0.125,0.625,8,1.0,1.0,1.0,0.875,0.475,8
A320,elev_step,clo_+0.1,static,8,0.0,0.25,8,0.875,1.0,1.0,,,8
A320,aileron_step,inertia_x1.6,dynamic,0,,,0,,,,,,0
A320,aileron_step,inertia_x1.6,static,0,,,0,,,,,,0
A320,aileron_step,cmq_x0.5,dynamic,0,,,0,,,,,,0
A320,aileron_step,cmq_x0.5,static,0,,,0,,,,,,0
A320,aileron_step,cmalpha_x0.7,dynamic,0,,,0,,,,,,0
A320,aileron_step,cmalpha_x0.7,static,0,,,0,,,,,,0
A320,aileron_step,clo_+0.1,dynamic,17,0.35294117647058826,0.8235294117647058,17,1.0,1.0,1.0,0.8235294117647058,0.7941176470588236,17
A320,aileron_step,clo_+0.1,static,17,0.29411764705882354,0.7058823529411765,17,0.9411764705882353,1.0,1.0,,,17
A320,rudder_doublet,inertia_x1.6,dynamic,4,0.5,0.5,4,1.0,1.0,1.0,0.75,1.0,0
A320,rudder_doublet,inertia_x1.6,static,4,0.5,0.25,4,1.0,1.0,1.0,,,0
A320,rudder_doublet,cmq_x0.5,dynamic,8,0.25,0.375,8,1.0,1.0,1.0,0.875,1.0,0
A320,rudder_doublet,cmq_x0.5,static,8,0.25,0.25,8,1.0,1.0,1.0,,,0
A320,rudder_doublet,cmalpha_x0.7,dynamic,6,0.3333333333333333,0.8333333333333334,6,1.0,1.0,1.0,0.16666666666666666,0.9833333333333334,0
A320,rudder_doublet,cmalpha_x0.7,static,6,0.3333333333333333,0.5,6,1.0,1.0,1.0,,,0
A320,rudder_doublet,clo_+0.1,dynamic,12,0.16666666666666666,0.5833333333333334,12,1.0,1.0,1.0,0.75,0.9916666666666667,12
A320,rudder_doublet,clo_+0.1,static,12,0.16666666666666666,0.6666666666666666,12,1.0,1.0,1.0,,,12
A320,bank_hold,inertia_x1.6,dynamic,1,0.0,0.0,1,1.0,1.0,1.0,0.0,0.6,0
A320,bank_hold,inertia_x1.6,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
A320,bank_hold,cmq_x0.5,dynamic,3,0.0,0.3333333333333333,3,1.0,1.0,1.0,0.3333333333333333,0.3666666666666667,0
A320,bank_hold,cmq_x0.5,static,3,0.0,0.6666666666666666,3,1.0,1.0,1.0,,,0
A320,bank_hold,cmalpha_x0.7,dynamic,0,,,0,,,,,,0
A320,bank_hold,cmalpha_x0.7,static,0,,,0,,,,,,0
A320,bank_hold,clo_+0.1,dynamic,3,0.3333333333333333,0.6666666666666666,3,1.0,1.0,1.0,1.0,0.4333333333333333,3
A320,bank_hold,clo_+0.1,static,3,0.3333333333333333,0.6666666666666666,3,1.0,1.0,1.0,,,3
A320,flap_extend,inertia_x1.6,dynamic,0,,,0,,,,,,0
A320,flap_extend,inertia_x1.6,static,0,,,0,,,,,,0
A320,flap_extend,cmq_x0.5,dynamic,4,0.25,0.5,4,1.0,1.0,1.0,1.0,1.0,0
A320,flap_extend,cmq_x0.5,static,4,0.25,0.5,4,1.0,1.0,1.0,,,0
A320,flap_extend,cmalpha_x0.7,dynamic,11,0.6363636363636364,0.9090909090909091,11,1.0,1.0,1.0,0.9090909090909091,0.890909090909091,0
A320,flap_extend,cmalpha_x0.7,static,11,0.6363636363636364,0.9090909090909091,11,1.0,1.0,1.0,,,0
A320,flap_extend,clo_+0.1,dynamic,8,0.625,0.875,8,1.0,1.0,1.0,1.0,0.4,8
A320,flap_extend,clo_+0.1,static,8,0.5,0.625,8,1.0,1.0,1.0,,,8
A320,engine_cut,inertia_x1.6,dynamic,0,,,0,,,,,,0
A320,engine_cut,inertia_x1.6,static,0,,,0,,,,,,0
A320,engine_cut,cmq_x0.5,dynamic,4,0.25,0.25,4,0.0,1.0,1.0,0.0,0.6749999999999999,0
A320,engine_cut,cmq_x0.5,static,4,0.0,0.25,4,0.0,1.0,1.0,,,0
A320,engine_cut,cmalpha_x0.7,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0
A320,engine_cut,cmalpha_x0.7,static,1,0.0,1.0,1,0.0,1.0,1.0,,,0
A320,engine_cut,clo_+0.1,dynamic,7,0.42857142857142855,0.42857142857142855,7,0.8571428571428571,1.0,1.0,0.8571428571428571,0.6714285714285714,7
A320,engine_cut,clo_+0.1,static,7,0.14285714285714285,0.42857142857142855,7,0.0,1.0,1.0,,,7
A320,climbing_turn,inertia_x1.6,dynamic,3,0.0,0.6666666666666666,3,1.0,1.0,1.0,1.0,0.16666666666666666,0
A320,climbing_turn,inertia_x1.6,static,3,0.0,0.6666666666666666,3,1.0,1.0,1.0,,,0
A320,climbing_turn,cmq_x0.5,dynamic,2,0.0,1.0,2,1.0,1.0,1.0,1.0,0.2,0
A320,climbing_turn,cmq_x0.5,static,2,0.0,1.0,2,1.0,1.0,1.0,,,0
A320,climbing_turn,cmalpha_x0.7,dynamic,3,0.3333333333333333,0.3333333333333333,3,0.0,1.0,1.0,0.6666666666666666,0.20000000000000004,0
A320,climbing_turn,cmalpha_x0.7,static,3,0.6666666666666666,1.0,3,0.0,1.0,1.0,,,0
A320,climbing_turn,clo_+0.1,dynamic,9,0.2222222222222222,0.3333333333333333,9,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7555555555555555,9
A320,climbing_turn,clo_+0.1,static,9,0.2222222222222222,0.7777777777777778,9,0.3333333333333333,0.7777777777777778,0.7777777777777778,,,9
A320,elev_doublet_distractor,inertia_x1.6,dynamic,7,0.0,0.5714285714285714,7,0.0,1.0,1.0,1.0,0.12857142857142856,0
A320,elev_doublet_distractor,inertia_x1.6,static,7,0.2857142857142857,0.5714285714285714,7,0.0,1.0,1.0,,,0
A320,elev_doublet_distractor,cmq_x0.5,dynamic,4,0.0,0.25,4,0.0,1.0,1.0,1.0,0.125,0
A320,elev_doublet_distractor,cmq_x0.5,static,4,0.0,0.75,4,0.0,1.0,1.0,,,0
A320,elev_doublet_distractor,cmalpha_x0.7,dynamic,9,0.0,0.4444444444444444,9,0.6666666666666666,1.0,1.0,0.6666666666666666,0.1888888888888889,0
