fault,aircraft,test_case,changed_exec_lines,executed,max_count,reach
B2_turbine_throttle_init_c8af9244,787-8,rudder_doublet,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,rudder_doublet,1,1,18284,True
B2_wheel_spin_down_8a9fba1c,787-8,rudder_doublet,4,4,28917,True
B2_sensor_fail_stuck_f543d634,787-8,rudder_doublet,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,rudder_doublet,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,rudder_doublet,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,rudder_doublet,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,rudder_doublet,3,3,8287,True
B_pqrdot_5ad2694c,787-8,bank_hold,5,1,5931,True
B_piston_power_bcd3f980,787-8,bank_hold,3,0,0,False
B_turbine_windmill_2db8e408,787-8,bank_hold,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,bank_hold,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,bank_hold,1,1,21886,True
B2_wheel_spin_down_8a9fba1c,787-8,bank_hold,4,4,41517,True
B2_sensor_fail_stuck_f543d634,787-8,bank_hold,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,bank_hold,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,bank_hold,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,bank_hold,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,bank_hold,3,3,11887,True
B_pqrdot_5ad2694c,787-8,flap_extend,5,1,5331,True
B_piston_power_bcd3f980,787-8,flap_extend,3,0,0,False
B_turbine_windmill_2db8e408,787-8,flap_extend,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,flap_extend,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,flap_extend,1,1,20684,True
B2_wheel_spin_down_8a9fba1c,787-8,flap_extend,4,4,37317,True
B2_sensor_fail_stuck_f543d634,787-8,flap_extend,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,flap_extend,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,flap_extend,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,flap_extend,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,flap_extend,3,3,10687,True
B_pqrdot_5ad2694c,787-8,engine_cut,5,1,5331,True
B_piston_power_bcd3f980,787-8,engine_cut,3,0,0,False
B_turbine_windmill_2db8e408,787-8,engine_cut,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,engine_cut,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,engine_cut,1,1,20686,True
B2_wheel_spin_down_8a9fba1c,787-8,engine_cut,4,4,37317,True
B2_sensor_fail_stuck_f543d634,787-8,engine_cut,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,engine_cut,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,engine_cut,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,engine_cut,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,engine_cut,3,3,10687,True
B_pqrdot_5ad2694c,787-8,climbing_turn,5,1,5931,True
B_piston_power_bcd3f980,787-8,climbing_turn,3,0,0,False
B_turbine_windmill_2db8e408,787-8,climbing_turn,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,climbing_turn,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,climbing_turn,1,1,21884,True
B2_wheel_spin_down_8a9fba1c,787-8,climbing_turn,4,4,41517,True
B2_sensor_fail_stuck_f543d634,787-8,climbing_turn,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,climbing_turn,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,climbing_turn,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,climbing_turn,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,climbing_turn,3,3,11887,True
B_pqrdot_5ad2694c,787-8,elev_doublet_distractor,5,1,5339,True
B_piston_power_bcd3f980,787-8,elev_doublet_distractor,3,0,0,False
B_turbine_windmill_2db8e408,787-8,elev_doublet_distractor,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,elev_doublet_distractor,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,elev_doublet_distractor,1,1,21187,True
B2_wheel_spin_down_8a9fba1c,787-8,elev_doublet_distractor,4,4,37373,True
B2_sensor_fail_stuck_f543d634,787-8,elev_doublet_distractor,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,elev_doublet_distractor,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,elev_doublet_distractor,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,elev_doublet_distractor,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,elev_doublet_distractor,3,3,10703,True
B_pqrdot_5ad2694c,787-8,engine_restart,5,1,7731,True
B_piston_power_bcd3f980,787-8,engine_restart,3,0,0,False
B_turbine_windmill_2db8e408,787-8,engine_restart,2,2,2161,True
B2_turbine_throttle_init_c8af9244,787-8,engine_restart,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,engine_restart,1,1,25486,True
B2_wheel_spin_down_8a9fba1c,787-8,engine_restart,4,4,54117,True
B2_sensor_fail_stuck_f543d634,787-8,engine_restart,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,engine_restart,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,engine_restart,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,engine_restart,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,engine_restart,3,3,15487,True
B_pqrdot_5ad2694c,787-8,engine_stop,5,1,530,True
B_piston_power_bcd3f980,787-8,engine_stop,3,0,0,False
B_turbine_windmill_2db8e408,787-8,engine_stop,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,engine_stop,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,engine_stop,1,1,11084,True
B2_wheel_spin_down_8a9fba1c,787-8,engine_stop,4,4,3710,True
B2_sensor_fail_stuck_f543d634,787-8,engine_stop,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,engine_stop,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,engine_stop,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,engine_stop,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,engine_stop,3,3,1085,True
B_pqrdot_5ad2694c,A320,cruise,5,1,7735,True
B_piston_power_bcd3f980,A320,cruise,3,0,0,False
B_turbine_windmill_2db8e408,A320,cruise,2,2,2,True
B2_turbine_throttle_init_c8af9244,A320,cruise,1,1,2,True
B2_turbine_thruster_inputs_20066483,A320,cruise,1,1,25965,True
B2_wheel_spin_down_8a9fba1c,A320,cruise,4,4,92820,True
B2_sensor_fail_stuck_f543d634,A320,cruise,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,A320,cruise,5,0,0,False
B2_load_factor_sign_c3fa7d22,A320,cruise,1,1,1,True
B2_propeller_inflow_angle_82cc3893,A320,cruise,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,A320,cruise,3,3,15495,True
B_pqrdot_5ad2694c,A320,throttle_step,5,1,7735,True
B_piston_power_bcd3f980,A320,throttle_step,3,0,0,False
B_turbine_windmill_2db8e408,A320,throttle_step,2,2,2,True
B2_turbine_throttle_init_c8af9244,A320,throttle_step,1,1,2,True
B2_turbine_thruster_inputs_20066483,A320,throttle_step,1,1,25967,True
B2_wheel_spin_down_8a9fba1c,A320,throttle_step,4,4,92820,True
B2_sensor_fail_stuck_f543d634,A320,throttle_step,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,A320,throttle_step,5,0,0,False
