aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,false_alarm,gated_cat,gated_auc
c172p,aileron_step,inertia_x1.6,4,0.752,1.1,1.0,0.18/1.00,0.60/1.00,,0.00/0.00,,0.00/0.00,0.24
c172p,aileron_step,cmq_x0.5,1,0.752,0.26,0.0,0.00/0.00,0.20/1.00,0.7,-,,,
c172p,aileron_step,cmalpha_x0.7,1,0.752,0.94,0.0,0.08/1.00,0.20/1.00,0.51,-,,,
c172p,aileron_step,clo_+0.1,2,0.752,1.96,1.0,0.15/1.00,0.40/1.00,0.55,0.00/0.00,,0.00/0.00,0.0
c172p,aileron_step,noop,4,0.752,,,,,,,0.18,,
c172p,rudder_doublet,inertia_x1.6,3,0.758,1.64,5.0,0.14/1.00,0.40/1.00,,0.00/0.00,,0.67/1.00,0.26
c172p,rudder_doublet,cmq_x0.5,3,0.758,0.18,0.0,0.08/0.33,0.20/1.00,0.52,-,,,
c172p,rudder_doublet,cmalpha_x0.7,6,0.758,0.5,0.0,0.23/0.50,0.40/1.00,0.55,-,,,
c172p,rudder_doublet,clo_+0.1,5,0.758,1.78,1.0,0.23/0.60,0.60/1.00,0.56,1.00/0.20,,1.00/0.33,1.0
c172p,rudder_doublet,noop,3,0.758,,,,,,,0.14,,
c172p,bank_hold,inertia_x1.6,1,0.784,0.98,0.0,0.05/1.00,0.20/1.00,,-,,,
c172p,bank_hold,cmq_x0.5,0,0.784,0.23,0.0,0.00/0.00,0.00/0.00,0.63,-,,,
c172p,bank_hold,cmalpha_x0.7,0,0.784,0.84,0.0,0.00/0.00,0.00/0.00,0.83,-,,,
c172p,bank_hold,clo_+0.1,2,0.784,1.78,1.0,0.08/0.50,0.40/1.00,0.64,1.00/0.50,,1.00/0.50,1.0
c172p,bank_hold,noop,0,0.784,,,,,,,0.0,,
c172p,flap_extend,inertia_x1.6,2,0.767,0.96,0.0,0.09/1.00,0.40/1.00,,-,,,
