aircraft,manoeuvre,variant,es_max,n_gated,n_flagged,n_cand,phys_recall,phys_precision,phys_cat_recall,phys_auc,gated_recall,gated_precision,gated_auc,agree_dynamic,correct_dynamic,agree_static,correct_static,gated_cat_recall
A4,aileron_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.4444444444444445,,,,,,,,
A4,rudder_doublet,B_elevator_drag_8819410c,0.4487960486348943,0,1,10,0.07692307692307693,1.0,0.2,0.29914529914529914,,,,0.0,1.0,0.0,1.0,
A4,rudder_doublet,B_pqrdot_5ad2694c,9.571959019654673e-05,0,0,10,0.0,,0.0,,,,,,,,,
A4,rudder_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.39316239316239315,,,,,,,,
A4,bank_hold,B_elevator_drag_8819410c,0.5611705601242156,0,0,10,0.0,,0.0,0.5555555555555556,,,,,,,,
A4,bank_hold,B_pqrdot_5ad2694c,5.1965190080725934e-05,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
A4,bank_hold,B_turbine_windmill_2db8e408,0.0,0,1,10,0.0,0.0,0.2,0.6239316239316239,,,,0.0,1.0,0.0,1.0,
A4,flap_extend,B_elevator_drag_8819410c,0.6659707427848475,0,5,10,0.38461538461538464,1.0,0.8,0.9743589743589745,,,,0.0,1.0,0.0,1.0,
A4,flap_extend,B_pqrdot_5ad2694c,6.142522305003871e-05,0,7,10,0.3181818181818182,1.0,0.6,,,,,0.0,1.0,0.0,1.0,
A4,flap_extend,B_turbine_windmill_2db8e408,0.0,0,7,10,0.5384615384615384,1.0,0.6,0.9658119658119658,,,,0.0,1.0,0.0,1.0,
A4,climbing_turn,B_elevator_drag_8819410c,0.7848021657120756,0,3,10,0.23076923076923078,1.0,0.4,0.36752136752136755,,,,0.0,0.3333333333333333,0.0,0.3333333333333333,
A4,climbing_turn,B_pqrdot_5ad2694c,5.155018883206735e-05,0,0,10,0.0,,0.0,,,,,,,,,
A4,climbing_turn,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.7179487179487181,,,,,,,,
A4,elev_doublet_distractor,B_elevator_drag_8819410c,0.5714103665973145,0,0,10,0.0,,0.0,0.16239316239316243,,,,,,,,
A4,elev_doublet_distractor,B_pqrdot_5ad2694c,5.173165190763634e-05,0,0,10,0.0,,0.0,,,,,,,,,
A4,elev_doublet_distractor,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.22222222222222224,,,,,,,,
B747,cruise,B_elevator_drag_8819410c,0.9245576268849504,0,3,10,0.23076923076923078,1.0,0.2,0.7094017094017093,,,,1.0,,1.0,,
B747,cruise,B_pqrdot_5ad2694c,7.920052295894088e-05,0,0,10,0.0,,0.0,,,,,,,,,
B747,cruise,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.8376068376068376,,,,,,,,
B747,throttle_step,B_elevator_drag_8819410c,0.5417515937596802,0,0,10,0.0,,0.0,0.4871794871794872,,,,,,,,
